prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Not applicable,2012,12,Total Trade Balance Exports Total - Imports Total,1001.516,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,12,Total Trade Balance Exports Total - Imports Total CIF,253.425,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Total Exports,27298.537,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Petroleum,4549.365,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Crude Oil,4021.07,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Other Oil,528.295,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Non Petroleum,22749.172,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Agrarian,990.173,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Extractive,288.66,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,1,Manufacturing,21470.339,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Total Imports,30152.955,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Freight and insurance of imports,801.655999,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30954.611,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Petroleum,4008.873,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Non Petroleum,26144.082,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Consumer Goods,4752.54,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Intermediate Goods,22159.524,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,1,Capital Goods,3240.891,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,1,Total Trade Balance Exports Total - Imports Total,-2854.418,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,1,Total Trade Balance Exports Total - Imports Total CIF,-3656.073999,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Total Exports,29091.473,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Petroleum,4084.912,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Crude Oil,3599.934,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Other Oil,484.978,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Non Petroleum,25006.561,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Agrarian,1043.716,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Extractive,318.37,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,2,Manufacturing,23644.475,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Total Imports,29066.034,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Freight and insurance of imports,748.709,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29814.743,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Petroleum,3009.756,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Non Petroleum,26056.278,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Consumer Goods,4176.103,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Intermediate Goods,21971.618,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,2,Capital Goods,2918.314,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,2,Total Trade Balance Exports Total - Imports Total,25.439,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,2,Total Trade Balance Exports Total - Imports Total CIF,-723.27,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Total Exports,31838.072,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Petroleum,4157.749,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Crude Oil,3521.293,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Other Oil,636.456,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Non Petroleum,27680.323,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Agrarian,1161.478,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Extractive,447.011,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,3,Manufacturing,26071.834,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Total Imports,30127.821,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Freight and insurance of imports,767.525999,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30895.347,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Petroleum,3561.441,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Non Petroleum,26566.38,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Consumer Goods,4718.7,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Intermediate Goods,22488.626,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,3,Capital Goods,2920.495,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,3,Total Trade Balance Exports Total - Imports Total,1710.251,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,3,Total Trade Balance Exports Total - Imports Total CIF,942.725,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Total Exports,32729.138,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Petroleum,4439.145,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Crude Oil,3791.606,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Other Oil,647.539,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Non Petroleum,28289.993,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Agrarian,1195.719,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Extractive,427.266,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2013,4,Manufacturing,26667.008,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Total Imports,34087.541,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Freight and insurance of imports,855.859,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34943.4,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Petroleum,4138.032,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Non Petroleum,29949.509,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Consumer Goods,5465.985,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Intermediate Goods,25095.383,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2013,4,Capital Goods,3526.173,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2013,4,Total Trade Balance Exports Total - Imports Total,-1358.403,Final Figures
